product_name,sku,price_usd,status,pitch_in,diameter_in,weight_g,categories
B8x3.8SFP,LPB08038SFP,2.78,In Stock,3.8,8.0,7.076003999999999,"Multi Rotor (Electric Only), Slow Fly (Electric Only), Slow Fly Reverse Rotation (Left Hand Rotation), Black MR, Black SF"
B8x4E,LPB08040E,2.92,In Stock,4.0,8.0,13.018032999999999,"Thin Electric, Black Thin Electric"
B8x4.1SF,LPB08041SF,2.78,In Stock,4.1,8.0,4.490541,Indoor 3D
B8x4.5MR-B4,LPB08045MR-B4,8.56,In Stock,4.5,8.0,36.2872,"Bundle (2 CW & 2 CCW), Black MR"
B8x4.7SF,LPB08047SF,2.78,In Stock,4.7,8.0,7.076003999999999,"Multi Rotor (Electric Only), Slow Fly (Electric Only), Black MR, Black SF"
B8x4.7SFP,LPB08047SFP,2.78,In Stock,4.7,8.0,7.076003999999999,"Multi Rotor (Electric Only), Slow Fly (Electric Only), Slow Fly Reverse Rotation (Left Hand Rotation), Black MR, Black SF"
B8x6E,LPB08060E,2.92,In Stock,6.0,8.0,14.015931,"Thin Electric, Black Thin Electric"
B8x6EP,LPB08060EP,2.92,In Stock,6.0,8.0,14.015931,"Thin Electric, Electric Reverse Rotation (Left Hand Rotation), Black Thin Electric"
B8x8E,LPB08080E,2.92,In Stock,8.0,8.0,15.013828999999998,"Thin Electric, Black Thin Electric"
B9x3.8SF-B4,LPB09038SF-B4,9.83,In Stock,3.8,9.0,36.2872,"Bundle (2 CW & 2 CCW), Slow Fly (Electric Only), Black MR, Black SF"
B9x4.5E,LPB09045E,3.22,In Stock,4.5,9.0,17.962164,"Thin Electric, Black Thin Electric"
B9x4.5MR-B4,LPB09045MR-B4,9.4,In Stock,4.5,9.0,44.270384,"Bundle (2 CW & 2 CCW), Black MR"
B9x4.7SF,LPB09047SF,3.08,In Stock,4.7,9.0,9.0718,"Multi Rotor (Electric Only), Slow Fly (Electric Only), Black MR, Black SF"
B9x6E,LPB09060E,3.22,In Stock,6.0,9.0,18.007523,"Thin Electric, Black Thin Electric"
B9x6SF,LPB09060SF,3.08,In Stock,6.0,9.0,9.0718,"Multi Rotor (Electric Only), Slow Fly (Electric Only), Black MR, Black SF"
B9x7.5E,LPB09075E,3.22,In Stock,7.5,9.0,18.007523,"Thin Electric, Black Thin Electric"
B9x9E,LPB09090E,3.22,In Stock,9.0,9.0,18.007523,"Thin Electric, Black Thin Electric"
B10x10E,LPB10010E,3.64,In Stock,10.0,10.0,20.003318999999998,"Thin Electric, Black Thin Electric"
B10x4.5MR-B4,LPB10045MR-B4,10.64,In Stock,4.5,10.0,60.05531599999999,"Bundle (2 CW & 2 CCW), Black MR"
B10x4.7SF,LPB10047SF,3.47,In Stock,4.7,10.0,11.929416999999999,"Multi Rotor (Electric Only), Slow Fly (Electric Only), Black MR, Black SF"
B10x5E,LPB10050E,3.64,In Stock,5.0,10.0,20.003318999999998,"Thin Electric, Black Thin Electric"
B10x5EP,LPB10050EP,3.64,In Stock,5.0,10.0,20.003318999999998,"Thin Electric, Electric Reverse Rotation (Left Hand Rotation), Black Thin Electric"
B10x5.5MR-B4,LPB10055MR-B4,10.64,In Stock,5.5,10.0,60.05531599999999,"Bundle (2 CW & 2 CCW), Black MR"
B10x6E,LPB10060E,3.64,In Stock,6.0,10.0,20.003318999999998,"Thin Electric, Black Thin Electric"
B10x7E,LPB10070E,3.64,In Stock,7.0,10.0,20.003318999999998,"Thin Electric, Black Thin Electric"
B10x7EP,LPB10070EP,3.64,In Stock,7.0,10.0,20.003318999999998,"Thin Electric, Electric Reverse Rotation (Left Hand Rotation), Black Thin Electric"
B10x8E,LPB10080E,3.64,In Stock,8.0,10.0,20.003318999999998,"Thin Electric, Black Thin Electric"
B11x10E,LPB11010E,4.17,In Stock,10.0,11.0,22.997013,"Thin Electric, Black Thin Electric"
B11x4.5MR-B4,LPB11045MR-B4,12.27,In Stock,4.5,11.0,68.0385,"Bundle (2 CW & 2 CCW), Black MR"
B11x4.7SF,LPB11047SF,3.99,In Stock,4.7,11.0,15.013828999999998,"Multi Rotor (Electric Only), Slow Fly (Electric Only), Black MR, Black SF"
B11x5.5E,LPB11055E,4.17,In Stock,5.5,11.0,22.997013,"Thin Electric, Black Thin Electric"
B11x5.5EP,LPB11055EP,4.17,In Stock,5.5,11.0,22.997013,"Thin Electric, Electric Reverse Rotation (Left Hand Rotation), Black Thin Electric"
B11x5.5MR-B4,LPB11055MR-B4,12.27,In Stock,5.5,11.0,68.0385,"Bundle (2 CW & 2 CCW), Black MR"
B11x7E,LPB11070E,4.17,In Stock,7.0,11.0,22.997013,"Thin Electric, Black Thin Electric"
B11x8E,LPB11080E,4.17,In Stock,8.0,11.0,22.997013,"Thin Electric, Black Thin Electric"
B11x8EP,LPB11080EP,4.17,In Stock,8.0,11.0,22.997013,"Thin Electric, Electric Reverse Rotation (Left Hand Rotation), Black Thin Electric"
B11x8.5E,LPB11085E,4.17,In Stock,8.5,11.0,23.994911,"Thin Electric, Black Thin Electric"
B12x10E,LPB12010E,4.87,In Stock,10.0,12.0,25.990706999999997,"Thin Electric, Black Thin Electric"
B12x12E,LPB12012E,4.87,In Stock,12.0,12.0,25.990706999999997,"Thin Electric, Black Thin Electric"
B12x12EP,LPB12012EP,4.87,In Stock,12.0,12.0,25.990706999999997,"Thin Electric, Electric Reverse Rotation (Left Hand Rotation), Black Thin Electric"
B12x6E,LPB12060E,4.87,In Stock,6.0,12.0,26.988604999999996,"Thin Electric, Black Thin Electric"
B12x6EP,LPB12060EP,4.87,In Stock,6.0,12.0,26.988604999999996,"Thin Electric, Electric Reverse Rotation (Left Hand Rotation), Black Thin Electric"
B12x8E,LPB12080E,4.87,In Stock,8.0,12.0,25.990706999999997,"Thin Electric, Black Thin Electric"
B12x8EP,LPB12080EP,4.87,In Stock,8.0,12.0,25.990706999999997,"Thin Electric, Electric Reverse Rotation (Left Hand Rotation), Black Thin Electric"
B13x4E,LPB13040E,5.73,In Stock,4.0,13.0,29.982299,"Thin Electric, Black Thin Electric"
B13x4EP,LPB13040EP,5.73,In Stock,4.0,13.0,29.982299,"Thin Electric, Electric Reverse Rotation (Left Hand Rotation), Black Thin Electric"
B13x6.5E,LPB13065E,5.73,In Stock,6.5,13.0,29.982299,"Thin Electric, Black Thin Electric"
B13x8E,LPB13080E,5.73,In Stock,8.0,13.0,30.980196999999997,"Thin Electric, Black Thin Electric"
B13x8EP,LPB13080EP,5.73,In Stock,8.0,13.0,30.980196999999997,"Thin Electric, Electric Reverse Rotation (Left Hand Rotation), Black Thin Electric"
B14x10E,LPB14010E,6.79,In Stock,10.0,14.0,36.015046,"Thin Electric, Black Thin Electric"
B14x10EP-T,LPB14010EP-T,7.36,In Stock,10.0,14.0,36.015046,"Thin Electric, Electric Reverse Rotation (Left Hand Rotation), Black Thin Electric, T-Mount"
B14x10E-T,LPB14010E-T,7.36,In Stock,10.0,14.0,36.015046,"Thin Electric, Black Thin Electric, T-Mount"
B14x12E,LPB14012E,6.79,In Stock,12.0,14.0,35.017148,"Thin Electric, Black Thin Electric"
B14x8.5E,LPB14085E,6.79,In Stock,8.5,14.0,37.012944,"Thin Electric, Black Thin Electric, Multi Rotor (Electric Only)"
B14x8.5EP,LPB14085EP,6.79,In Stock,8.5,14.0,37.012944,"Thin Electric, Electric Reverse Rotation (Left Hand Rotation), Black Thin Electric, Multi Rotor (Electric Only)"
B14x8.5EP-T,LPB14085EP-T,7.36,In Stock,8.5,14.0,37.012944,"Thin Electric, Electric Reverse Rotation (Left Hand Rotation), Black Thin Electric, T-Mount"
B14x8.5E-T,LPB14085E-T,7.36,In Stock,8.5,14.0,37.012944,"Thin Electric, Black Thin Electric, T-Mount"
B15x10E,LPB15010E,8.05,In Stock,10.0,15.0,44.996128,"Thin Electric, Black Thin Electric"
B15x12EP-T,LPB15012EP-T,8.62,In Stock,12.0,15.0,43.99823,"Thin Electric, Electric Reverse Rotation (Left Hand Rotation), Black Thin Electric, T-Mount"
B15x12E-T,LPB15012E-T,8.62,In Stock,12.0,15.0,43.99823,"Thin Electric, Black Thin Electric, T-Mount"
B15x5.5MRP-T,LPB15055MRP-T,7.95,In Stock,5.5,15.0,36.015046,"Multi Rotor (Electric Only), T-Mount"
B15x5.5MR-T,LPB15055MR-T,7.95,In Stock,5.5,15.0,36.015046,"Multi Rotor (Electric Only), T-Mount"
B15x8E,LPB15080E,8.05,In Stock,8.0,15.0,43.99823,"Thin Electric, Black Thin Electric"
B18x5.5MRP-T,LPB18055MRP-T,13.2,In Stock,5.5,18.0,61.007855,"Multi Rotor (Electric Only), T-Mount"
B18x5.5MR-T,LPB18055MR-T,13.2,In Stock,5.5,18.0,61.007855,"Multi Rotor (Electric Only), T-Mount"
B4x4E-3-B4,LPB304040E-B4,6.22,In Stock,4.0,4.0,15.966368,"Bundle (2 CW & 2 CCW), 3 Bladed (Electric Only), Black FPV, Black MR"
B5x4E-3-B4,LPB305040E-B4,6.22,In Stock,4.0,5.0,23.768116,"Bundle (2 CW & 2 CCW), 3 Bladed (Electric Only), Black FPV, Black MR"
B5x4E-4-B4,LPB405040E-B4,6.22,In Stock,4.0,5.0,27.941143999999998,"Bundle (2 CW & 2 CCW), Black FPV, 4 Bladed (Electric Only), Black MR"
